,ALV.DE,DTE.DE,BN.PA,IBE.MC,ENI.MI,BAS.DE,G.MI,BAYN.DE,ASML.AS,DG.PA,AIR.PA,ENGI.PA,CA.PA,CS.PA,ABI.BR,EOAN.DE,BMW.DE,BNP.PA,ISP.MI,INGA.AS,ENEL.MI,BBVA.MC,DBK.DE,GLE.PA
AIR.PA,0.516573933326916,0.382704069849248,0.34842277861758775,0.32814863615591183,0.4446996012208614,0.4897721621730975,0.4403325241370323,0.3655282974988552,0.40435944929888007,0.5708149515705433,1.0,0.4132800533840636,0.3026494243037915,0.4816957249136526,0.44876100115149087,0.31980791785164764,0.4895117470877443,0.485986046366192,0.4368561157804011,0.47695630649809206,0.3769351246833182,0.46662090980818616,0.4464316730897928,0.4836175768934111
ENGI.PA,0.5445421717351717,0.5001855174199286,0.45564110888080483,0.6172066456987391,0.5386821691494585,0.4872424775846851,0.5383481203066163,0.4135202202506636,0.3213169170713197,0.584029851800239,0.4132800533840636,1.0,0.428173927371783,0.5462674577599848,0.41838154610701583,0.6403927336392601,0.42975580523115686,0.5042439358464875,0.5129131393489796,0.498186462308065,0.6444518792004633,0.5056827844094912,0.45193113621059366,0.5051608668048827
CA.PA,0.45304359729803584,0.4034910567644332,0.41740655437029944,0.4253037723091753,0.4422252324610502,0.4305380582394977,0.43573055755697454,0.3750735844186699,0.22433622377431653,0.4702284662696308,0.3026494243037915,0.428173927371783,1.0,0.47404521588128545,0.34305716335895226,0.3970252573858898,0.39183021203316826,0.44919880947241464,0.43410909422870003,0.43455777691946185,0.4540935345516499,0.43350315918822524,0.40259339509861763,0.443142835554412
CS.PA,0.8080345880545731,0.48305695004214705,0.3984032258758907,0.5629575351410664,0.6032196885343197,0.6319929727135661,0.7326052771314577,0.4489524930812071,0.3802596310278929,0.6793618431796046,0.4816957249136526,0.5462674577599848,0.47404521588128545,1.0,0.4317103896064488,0.48417210501486807,0.5823284169378851,0.760217275261545,0.7262406506615559,0.7595904506256239,0.5830952760102068,0.687037387093629,0.6836529993197195,0.7370592073396248
ABI.BR,0.5063324359286048,0.4120759828987481,0.46139722709573516,0.38608670949268853,0.45020450380644356,0.4574475439089435,0.4101865422480462,0.41254429653174723,0.3158556130906447,0.5094751001855893,0.44876100115149087,0.41838154610701583,0.34305716335895226,0.4317103896064488,1.0,0.3433208258368604,0.42639382741949344,0.454570607078926,0.3888599623221063,0.42688551760045795,0.4138259242694838,0.42018391404686783,0.3734744692904069,0.4126743632255116
EOAN.DE,0.5057709571304592,0.4799504925959413,0.41828987547429847,0.5722238031037694,0.46594038781373837,0.4429783129146322,0.47574671374757643,0.37768847765235636,0.27307823426329897,0.48980791085076403,0.31980791785164764,0.6403927336392601,0.3970252573858898,0.48417210501486807,0.3433208258368604,1.0,0.3923111671106878,0.4293174635610881,0.4398822340622301,0.43443371868971187,0.5896072227743853,0.4254458670274437,0.4026512577250289,0.4202699563760646
BMW.DE,0.5973607925714569,0.41662938888189854,0.35877541182601774,0.3939863985911045,0.5175378916619968,0.673570702590248,0.5278516353292734,0.4729941009516765,0.41564256713522013,0.5778915780398837,0.4895117470877443,0.42975580523115686,0.39183021203316826,0.5823284169378851,0.42639382741949344,0.3923111671106878,1.0,0.5722754652897301,0.5342774629525607,0.5735396965164941,0.4572806282966565,0.5558225508536732,0.5693596629833588,0.5586714294662718
BNP.PA,0.7227337778302458,0.4379731041861758,0.36592841471940896,0.5082654040022331,0.5869476027209899,0.6066339018301187,0.6707624753361242,0.44930495561742756,0.3665173029169533,0.6425245471827485,0.485986046366192,0.5042439358464875,0.44919880947241464,0.760217275261545,0.454570607078926,0.4293174635610881,0.5722754652897301,1.0,0.75278348705693,0.7819220456390933,0.5306104866123238,0.7505737983805144,0.7510207488606827,0.8425583501673558
ISP.MI,0.6706227060447519,0.4692506118225715,0.36374067852491243,0.5497442742935297,0.5952812208257264,0.5688451537076595,0.7491345820173749,0.4293592939875716,0.35562460493614323,0.5943918141954583,0.4368561157804011,0.5129131393489796,0.43410909422870003,0.7262406506615559,0.3888599623221063,0.4398822340622301,0.5342774629525607,0.75278348705693,1.0,0.7170314356264222,0.6250711376042524,0.7390885095786917,0.6828773555738195,0.7485567888676361
INGA.AS,0.745427490839814,0.43391058913374747,0.34410375463253096,0.49474946690421256,0.5872842243565413,0.6224682241038241,0.6590822884632204,0.4430875346274376,0.3766679243951171,0.6245872282611893,0.47695630649809206,0.498186462308065,0.43455777691946185,0.7595904506256239,0.42688551760045795,0.43443371868971187,0.5735396965164941,0.7819220456390933,0.7170314356264222,1.0,0.5313218142502013,0.7129999870043331,0.7137295310425333,0.7484372310585152
ENEL.MI,0.5684051944631128,0.5236993756347308,0.45128452046100664,0.7140807135829623,0.6022772355921173,0.5084450389974935,0.6509201035554865,0.4198854135085325,0.3447579049476998,0.5933243532461211,0.3769351246833182,0.6444518792004633,0.4540935345516499,0.5830952760102068,0.4138259242694838,0.5896072227743853,0.4572806282966565,0.5306104866123238,0.6250711376042524,0.5313218142502013,1.0,0.552105798168633,0.47909904362429145,0.5168132924195081
BBVA.MC,0.6572485693689485,0.45312870314998466,0.3566934061170366,0.5713691942381095,0.5917235227465838,0.5900401684239549,0.6741486202197644,0.4221435604572804,0.3716628738026826,0.6042535067989255,0.46662090980818616,0.5056827844094912,0.43350315918822524,0.687037387093629,0.42018391404686783,0.4254458670274437,0.5558225508536732,0.7505737983805144,0.7390885095786917,0.7129999870043331,0.552105798168633,1.0,0.6898946868773392,0.7475634131092203
DBK.DE,0.6826094296935624,0.42087652843576423,0.31765105527500587,0.43486047098285935,0.5387768640647332,0.610135192578989,0.6250922827985755,0.4394298029052271,0.37162071476795916,0.5586699675398183,0.4464316730897928,0.45193113621059366,0.40259339509861763,0.6836529993197195,0.3734744692904069,0.4026512577250289,0.5693596629833588,0.7510207488606827,0.6828773555738195,0.7137295310425333,0.47909904362429145,0.6898946868773392,1.0,0.7389371736125557
GLE.PA,0.6867819431645256,0.4164166887590203,0.3329602734558605,0.48840613907076025,0.5715000269342321,0.5931311873139614,0.6691411218654959,0.4297148298582926,0.3511219667052137,0.6293431580519533,0.4836175768934111,0.5051608668048827,0.443142835554412,0.7370592073396248,0.4126743632255116,0.4202699563760646,0.5586714294662718,0.8425583501673558,0.7485567888676361,0.7484372310585152,0.5168132924195081,0.7475634131092203,0.7389371736125557,1.0
